step,thrust,turn,x,y,theta
0,0.049623,0.001754,80.000,200.000,0.000000
1,0.096148,0.005418,80.050,200.000,0.000210
2,0.141475,0.004791,80.146,200.000,0.000861
3,0.184428,0.004875,80.287,200.000,0.001436
4,0.224863,0.004925,80.472,200.001,0.002021
5,0.264270,0.000088,80.697,200.001,0.002612
6,0.300077,-0.001388,80.961,200.002,0.002622
7,0.336381,0.002120,81.261,200.003,0.002456
8,0.369325,0.006270,81.597,200.004,0.002710
9,0.400100,0.003461,81.967,200.005,0.003462
10,0.430222,0.006228,82.367,200.006,0.003878
11,0.458573,0.002000,82.797,200.008,0.004625
12,0.484739,0.008549,83.255,200.011,0.004865
13,0.510748,0.000801,83.740,200.014,0.005891
14,0.535945,-0.006067,84.251,200.017,0.005987
15,0.558354,-0.004131,84.787,200.019,0.005259
16,0.580450,-0.003851,85.345,200.022,0.004763
17,0.601821,-0.002957,85.926,200.025,0.004301
18,0.622253,-0.005162,86.527,200.027,0.003947
19,0.640917,-0.001196,87.150,200.029,0.003327
20,0.659105,-0.006742,87.791,200.031,0.003184
21,0.675468,-0.003496,88.450,200.033,0.002374
22,0.692146,-0.000186,89.125,200.034,0.001955
23,0.708178,0.000162,89.817,200.035,0.001933
24,0.721848,0.001948,90.526,200.037,0.001952
25,0.735497,-0.004889,91.247,200.038,0.002186
26,0.748987,-0.011721,91.983,200.039,0.001599
27,0.762571,-0.016232,92.732,200.040,0.000192
28,0.774769,-0.023217,93.494,200.038,-0.001755
29,0.786577,-0.020588,94.269,200.035,-0.004541
30,0.797460,-0.018153,95.056,200.029,-0.007012
31,0.807507,-0.014599,95.853,200.022,-0.009190
32,0.816391,-0.011030,96.661,200.013,-0.010942
33,0.825748,-0.005459,97.477,200.003,-0.012266
34,0.833439,-0.002178,98.303,199.992,-0.012921
35,0.840613,-0.002164,99.136,199.981,-0.013182
36,0.848233,0.000466,99.977,199.970,-0.013442
37,0.854432,-0.007358,100.825,199.959,-0.013386
38,0.860068,-0.006876,101.679,199.946,-0.014269
39,0.864774,-0.010905,102.539,199.933,-0.015094
40,0.869656,-0.008504,103.404,199.919,-0.016403
41,0.870180,0.029415,104.273,199.904,-0.017423
42,0.869776,0.028355,105.143,199.892,-0.013893
43,0.864423,0.021181,106.013,199.883,-0.010491
