step,thrust,turn,x,y,theta
0,0.049623,-0.000573,80.000,200.000,0.000000
1,0.096418,-0.003082,80.050,200.000,-0.000069
2,0.141732,-0.004078,80.146,200.000,-0.000439
3,0.184942,-0.009585,80.288,200.000,-0.000928
4,0.225352,-0.011305,80.473,199.999,-0.002078
5,0.265006,-0.021405,80.698,199.999,-0.003435
6,0.300778,-0.023188,80.963,199.997,-0.006003
7,0.337318,-0.024691,81.264,199.994,-0.008786
8,0.370213,-0.020710,81.601,199.990,-0.011749
9,0.401219,-0.028093,81.971,199.985,-0.014234
10,0.431287,-0.026479,82.372,199.978,-0.017605
11,0.459869,-0.034328,82.804,199.969,-0.020783
12,0.485988,-0.026941,83.263,199.958,-0.024902
13,0.512206,-0.038502,83.749,199.944,-0.028135
14,0.536965,-0.006179,84.261,199.927,-0.032755
15,0.559238,0.035321,84.798,199.909,-0.033497
16,0.581299,0.032889,85.357,199.893,-0.029258
17,0.602543,-0.015700,85.938,199.878,-0.025311
18,0.622945,-0.021490,86.540,199.862,-0.027195
19,0.641475,-0.063863,87.163,199.843,-0.029774
20,0.659689,-0.069552,87.804,199.819,-0.037438
21,0.676325,-0.067471,88.463,199.789,-0.045784
22,0.692964,-0.060669,89.138,199.753,-0.053881
23,0.708862,-0.104917,89.830,199.710,-0.061161
24,0.722587,-0.100955,90.537,199.658,-0.073751
25,0.736104,-0.148753,91.257,199.596,-0.085866
26,0.749566,-0.152811,91.989,199.520,-0.103716
27,0.762965,-0.114634,92.733,199.429,-0.122053
28,0.774698,-0.071497,93.489,199.325,-0.135809
29,0.785984,0.012601,94.255,199.214,-0.144389
30,0.797020,0.014279,95.033,199.102,-0.142877
31,0.807316,0.008425,95.823,198.990,-0.141163
32,0.816084,0.009267,96.622,198.877,-0.140152
33,0.824989,-0.076492,97.430,198.764,-0.139040
34,0.832696,-0.076727,98.246,198.642,-0.148219
35,0.837913,0.080999,99.068,198.512,-0.157426
36,0.845905,0.076624,99.897,198.388,-0.147707
37,0.851412,0.099389,100.735,198.271,-0.138512
38,0.856367,0.135525,101.580,198.164,-0.126585
39,0.860890,0.160398,102.431,198.070,-0.110322
40,0.865679,0.156106,103.288,197.991,-0.091074
41,0.867366,0.139152,104.152,197.929,-0.072341
42,0.866093,0.171310,105.018,197.881,-0.055643
43,0.860317,0.155199,105.883,197.850,-0.035086
44,0.862514,0.141833,106.743,197.836,-0.016462
45,0.850314,0.086635,107.606,197.837,0.000558
46,0.842542,0.110707,108.456,197.846,0.010954
47,0.832747,0.096199,109.298,197.866,0.024239
48,0.819306,0.089910,110.131,197.896,0.035783
49,0.809935,0.077148,110.949,197.934,0.046572
50,0.796368,0.068359,111.758,197.979,0.055830
51,0.780371,0.098893,112.552,198.030,0.064033
52,0.770855,0.091034,113.331,198.090,0.075900
53,0.758145,-0.001367,114.099,198.156,0.086824
54,0.732430,-0.041920,114.854,198.222,0.086660
55,0.714643,0.009133,115.584,198.282,0.081629
56,0.681264,-0.016934,116.296,198.341,0.082726
57,0.652678,-0.112950,116.975,198.396,0.080693
58,0.634494,-0.123528,117.626,198.439,0.067139
59,0.622248,-0.127182,118.260,198.473,0.052316
60,0.614322,-0.160237,118.882,198.496,0.037054
61,0.605297,-0.160768,119.496,198.507,0.017826
62,0.604082,-0.158795,120.101,198.506,-0.001466
63,0.610338,-0.155786,120.705,198.493,-0.020522
64,0.613199,-0.146435,121.315,198.469,-0.039216
65,0.609807,-0.150680,121.927,198.435,-0.056788
66,0.610345,-0.131011,122.535,198.389,-0.074870
67,0.606951,-0.207975,123.143,198.334,-0.090591
68,0.609762,-0.205219,123.746,198.264,-0.115548
69,0.615834,-0.121918,124.350,198.179,-0.140174
70,0.615625,-0.105050,124.958,198.084,-0.154805
71,0.614651,-0.071376,125.565,197.981,-0.167411
72,0.622199,-0.072955,126.171,197.873,-0.175976
73,0.621326,-0.029169,126.782,197.759,-0.184730
74,0.624674,-0.024884,127.393,197.643,-0.188231
75,0.628280,-0.033750,128.006,197.524,-0.191217
76,0.637562,0.009008,128.622,197.402,-0.195267
77,0.647404,-0.027704,129.248,197.279,-0.194186
78,0.650377,-0.031801,129.883,197.152,-0.197510
79,0.656486,0.013915,130.520,197.022,-0.201326
80,0.657940,0.094858,131.163,196.892,-0.199657
81,0.667168,0.093091,131.810,196.769,-0.188274
82,0.677111,0.090957,132.466,196.651,-0.177103
83,0.680128,0.048417,133.134,196.539,-0.166188
84,0.683941,-0.005479,133.805,196.431,-0.160378
85,0.688860,0.034880,134.481,196.321,-0.161035
86,0.692356,-0.001780,135.161,196.213,-0.156850
87,0.694237,0.037019,135.845,196.105,-0.157063
88,0.700347,0.151513,136.531,196.000,-0.152621
89,0.704485,0.143283,137.225,195.906,-0.134439
90,0.708124,0.181668,137.925,195.823,-0.117245
91,0.710264,0.089929,138.630,195.756,-0.095445
92,0.712523,0.038970,139.337,195.696,-0.084654
93,0.717689,0.038502,140.048,195.639,-0.079977
94,0.713124,-0.039063,140.763,195.585,-0.075357
95,0.707909,-0.139463,141.474,195.528,-0.080045
96,0.709548,-0.071268,142.179,195.459,-0.096780
97,0.711494,-0.065860,142.884,195.385,-0.105332
98,0.719183,-0.071348,143.591,195.304,-0.113235
99,0.725553,0.001107,144.305,195.217,-0.121797
100,0.724365,0.047101,145.025,195.129,-0.121664
101,0.725246,-0.005764,145.745,195.045,-0.116012
102,0.727494,-0.051782,146.465,194.961,-0.116704
103,0.729031,-0.022431,147.187,194.871,-0.122918
104,0.728824,-0.031272,147.910,194.780,-0.125610
105,0.727520,-0.024777,148.633,194.686,-0.129362
