seed,feeding_gain,olfactory_gain,final_state,survived,first_landing_step,first_feeding_step,time_to_land_sec,time_to_feed_sec,total_feeds,total_steps
42,1.0,1.0,won,True,43,84,4.3,8.4,84,4000
123,1.0,1.0,won,True,264,305,26.400000000000002,30.5,49,4000
456,1.0,1.0,won,True,484,525,48.400000000000006,52.5,74,4000
42,1.0,2.0,won,True,43,84,4.3,8.4,78,4000
123,1.0,2.0,won,True,1147,1188,114.7,118.80000000000001,63,4000
456,1.0,2.0,won,True,428,469,42.800000000000004,46.900000000000006,84,4000
42,1.0,4.0,won,True,43,84,4.3,8.4,80,4000
123,1.0,4.0,won,True,629,670,62.900000000000006,67.0,35,4000
456,1.0,4.0,won,True,362,403,36.2,40.300000000000004,85,4000
42,2.0,1.0,won,True,43,84,4.3,8.4,60,4000
123,2.0,1.0,won,True,747,788,74.7,78.80000000000001,72,4000
456,2.0,1.0,won,True,410,451,41.0,45.1,84,4000
42,2.0,2.0,won,True,43,84,4.3,8.4,69,4000
123,2.0,2.0,won,True,328,369,32.800000000000004,36.9,75,4000
456,2.0,2.0,won,True,446,487,44.6,48.7,71,4000
42,2.0,4.0,won,True,43,84,4.3,8.4,77,4000
123,2.0,4.0,won,True,1468,1509,146.8,150.9,57,4000
456,2.0,4.0,won,True,326,367,32.6,36.7,83,4000
42,4.0,1.0,won,True,43,84,4.3,8.4,83,4000
123,4.0,1.0,won,True,785,826,78.5,82.60000000000001,72,4000
456,4.0,1.0,won,True,345,386,34.5,38.6,84,4000
42,4.0,2.0,won,True,43,84,4.3,8.4,73,4000
123,4.0,2.0,won,True,1132,1173,113.2,117.30000000000001,56,4000
456,4.0,2.0,won,True,195,236,19.5,23.6,82,4000
42,4.0,4.0,won,True,43,84,4.3,8.4,69,4000
123,4.0,4.0,won,True,443,484,44.300000000000004,48.400000000000006,59,4000
456,4.0,4.0,won,True,1080,1121,108.0,112.10000000000001,59,4000
